,,Human Development Index (HDI),Inequality-adjusted HDI (IHDI),Coefficient of human inequality,Inequality in life expectancy,Inequality-adjusted life expectancy index,Inequality in education,Inequality-adjusted education index,Inequality in income,Inequality-adjusted income index
,,Value,Value,,(%),Value,(%),Value,(%),Value
HDI rank,Country,2021,2021,2021,2021,2021,2021,2021,2021,2021
56,Kazakhstan,0.811,0.755,6.9,7.3,0.704,3.2,0.823,10.3,0.742
57,Trinidad and Tobago,0.810,..,..,10.9,0.726,..,..,..,..
58,Costa Rica,0.809,0.664,17.0,5.9,0.826,11.6,0.666,33.4,0.533
58,Uruguay,0.809,0.710,11.8,5.4,0.807,6.5,0.717,23.5,0.619
60,Belarus,0.808,0.765,5.3,3.3,0.780,2.8,0.803,9.6,0.715
61,Panama,0.805,0.640,19.6,10.9,0.771,11.4,0.633,36.6,0.536
62,Malaysia,0.803,..,..,6.0,0.794,12.1,0.638,..,..
63,Georgia,0.802,0.706,11.4,6.6,0.743,2.8,0.836,24.9,0.566
63,Mauritius,0.802,0.666,16.9,10.6,0.736,21.9,0.601,18.2,0.667
63,Serbia,0.802,0.720,9.9,4.1,0.799,7.2,0.723,18.5,0.647
66,Thailand,0.800,0.686,14.2,6.9,0.841,16.8,0.608,18.8,0.630
67,Albania,0.796,0.710,10.8,6.8,0.810,12.3,0.682,13.2,0.649
68,Bulgaria,0.795,0.701,11.4,5.2,0.756,5.9,0.721,23.0,0.633
68,Grenada,0.795,..,..,9.6,0.764,..,..,..,..
70,Barbados,0.790,0.657,15.7,8.0,0.815,5.5,0.722,33.6,0.483
71,Antigua and Barbuda,0.788,..,..,4.7,0.857,..,..,..,..
72,Seychelles,0.785,0.661,15.1,9.4,0.715,6.7,0.681,29.3,0.593
73,Sri Lanka,0.782,0.676,13.2,5.2,0.823,12.0,0.663,22.4,0.567
74,Bosnia and Herzegovina,0.780,0.677,13.0,4.0,0.817,14.8,0.626,20.2,0.606
75,Saint Kitts and Nevis,0.777,..,..,8.0,0.732,..,..,..,..
76,Iran (Islamic Republic of),0.774,0.686,11.1,8.5,0.758,5.0,0.723,19.7,0.590
77,Ukraine,0.773,0.726,6.0,5.8,0.748,3.6,0.758,8.5,0.675
78,North Macedonia,0.770,0.686,10.6,4.4,0.792,8.4,0.659,19.2,0.619
79,China,0.768,0.651,14.8,5.3,0.848,11.7,0.573,27.4,0.567
80,Dominican Republic,0.767,0.618,19.4,17.6,0.667,15.0,0.605,25.6,0.583
80,Moldova (Republic of),0.767,0.711,7.3,8.9,0.685,2.6,0.775,10.4,0.677
80,Palau,0.767,..,..,12.5,0.620,2.2,0.836,..,..
83,Cuba,0.764,..,..,4.6,0.788,9.1,0.743,..,..
84,Peru,0.762,0.635,16.4,8.6,0.736,14.3,0.649,26.3,0.535
85,Armenia,0.759,0.688,9.1,7.0,0.744,2.9,0.720,17.4,0.609
86,Mexico,0.758,0.621,17.6,9.5,0.699,13.5,0.623,29.8,0.550
87,Brazil,0.754,0.576,22.3,10.0,0.730,15.7,0.594,41.3,0.440
88,Colombia,0.752,0.589,20.6,9.4,0.737,14.6,0.595,37.7,0.468
89,Saint Vincent and the Grenadines,0.751,..,..,9.1,0.694,9.2,0.698,..,..
90,Maldives,0.747,0.594,19.8,4.1,0.884,29.3,0.421,25.8,0.565
91,Algeria,0.745,0.598,19.1,12.4,0.760,33.3,0.451,11.5,0.626
91,Azerbaijan,0.745,0.685,7.9,11.3,0.673,3.6,0.700,8.9,0.683
91,Tonga,0.745,0.666,10.4,8.7,0.716,4.3,0.790,18.2,0.522
91,Turkmenistan,0.745,0.619,16.4,20.0,0.607,2.9,0.720,26.2,0.543
95,Ecuador,0.740,0.604,17.8,8.9,0.752,13.4,0.606,31.1,0.483
96,Mongolia,0.739,0.644,12.7,9.3,0.711,11.9,0.643,16.9,0.585
97,Egypt,0.731,0.519,28.0,10.7,0.690,36.9,0.443,36.5,0.457
97,Tunisia,0.731,0.588,19.2,10.0,0.745,30.7,0.469,16.9,0.581
99,Fiji,0.730,..,..,15.2,0.614,2.6,0.753,..,..
99,Suriname,0.730,0.532,25.3,11.0,0.688,18.4,0.562,46.7,0.390
101,Uzbekistan,0.727,..,..,8.5,0.716,0.6,0.739,..,..
102,Dominica,0.720,..,..,9.0,0.740,..,..,..,..
102,Jordan,0.720,0.617,14.2,9.3,0.757,15.4,0.545,17.9,0.570
104,Libya,0.718,..,..,7.8,0.736,..,..,..,..
105,Paraguay,0.717,0.582,18.3,11.4,0.685,13.2,0.570,30.4,0.506
106,"Palestine, State of",0.715,0.584,17.6,10.2,0.738,11.0,0.625,31.6,0.432
106,Saint Lucia,0.715,0.559,21.3,9.3,0.713,27.3,0.467,27.4,0.525
108,Guyana,0.714,0.591,17.1,15.8,0.592,10.4,0.568,25.1,0.613
109,South Africa,0.713,0.471,31.1,18.9,0.529,17.3,0.627,57.0,0.316
110,Jamaica,0.709,0.591,15.7,8.7,0.709,6.5,0.633,32.0,0.461
111,Samoa,0.707,0.613,13.1,10.4,0.727,7.0,0.674,21.9,0.469
112,Gabon,0.706,0.554,21.5,19.7,0.566,23.5,0.517,21.2,0.583
112,Lebanon,0.706,..,..,5.6,0.800,6.2,0.567,..,..
114,Indonesia,0.705,0.585,16.9,13.2,0.635,17.3,0.552,20.1,0.572
115,Viet Nam,0.703,0.602,14.3,13.1,0.717,15.3,0.541,14.6,0.563
116,Philippines,0.699,0.574,17.5,14.4,0.649,10.1,0.597,28.1,0.488
117,Botswana,0.693,..,..,21.6,0.496,23.3,0.526,..,..
118,Bolivia (Plurinational State of),0.692,0.549,20.5,18.0,0.550,16.5,0.620,26.9,0.486
118,Kyrgyzstan,0.692,0.627,9.2,10.5,0.688,3.4,0.721,13.8,0.497
120,Venezuela (Bolivarian Republic of),0.691,0.592,14.2,12.8,0.678,8.7,0.663,21.0,0.462
121,Iraq,0.686,0.554,18.8,14.0,0.667,29.7,0.421,12.7,0.607
122,Tajikistan,0.685,0.599,12.3,16.5,0.663,6.0,0.659,14.5,0.493
123,Belize,0.683,0.535,20.7,9.2,0.705,14.8,0.559,37.9,0.389
123,Morocco,0.683,0.504,25.1,10.9,0.741,41.9,0.343,22.5,0.502
125,El Salvador,0.675,0.548,18.6,9.5,0.706,23.8,0.450,22.5,0.517
126,Nicaragua,0.667,0.516,22.1,9.9,0.747,25.8,0.437,30.7,0.422
127,Bhutan,0.666,0.471,27.7,14.9,0.678,48.2,0.279,20.0,0.550
128,Cabo Verde,0.662,..,..,8.8,0.758,27.4,0.405,..,..
129,Bangladesh,0.661,0.503,23.1,15.5,0.681,37.3,0.371,16.6,0.504
130,Tuvalu,0.641,0.541,15.5,14.4,0.587,9.2,0.557,22.9,0.483
131,Marshall Islands,0.639,..,..,17.5,0.575,4.8,0.616,..,..
132,India,0.633,0.475,24.4,16.9,0.604,36.9,0.348,19.4,0.510
133,Ghana,0.632,0.458,27.3,22.8,0.520,35.1,0.397,24.1,0.464
134,Micronesia (Federated States of),0.628,..,..,13.9,0.672,..,..,26.4,0.401
135,Guatemala,0.627,0.460,26.1,13.9,0.652,35.0,0.314,29.6,0.475
136,Kiribati,0.624,0.516,17.2,22.5,0.566,9.6,0.537,19.4,0.451
137,Honduras,0.621,0.479,22.2,10.1,0.693,21.6,0.406,34.9,0.390
138,Sao Tome and Principe,0.618,0.503,18.4,10.4,0.656,18.7,0.470,26.2,0.412
139,Namibia,0.615,0.402,32.8,19.9,0.484,25.0,0.428,53.6,0.313
140,Lao People's Democratic Republic,0.607,0.459,24.2,20.6,0.587,31.3,0.316,20.6,0.521
140,Timor-Leste,0.607,0.440,26.2,20.2,0.586,44.9,0.293,13.6,0.496
140,Vanuatu,0.607,..,..,14.0,0.667,..,..,19.7,0.416
143,Nepal,0.602,0.449,24.3,15.5,0.630,41.1,0.311,16.3,0.462
144,Eswatini (Kingdom of),0.597,0.424,28.6,23.8,0.435,24.1,0.431,37.9,0.407
145,Equatorial Guinea,0.596,..,..,30.1,0.437,..,..,..,..
146,Cambodia,0.593,0.479,19.0,15.4,0.646,27.3,0.355,14.3,0.480
146,Zimbabwe,0.593,0.458,22.5,24.0,0.459,14.6,0.535,28.8,0.392
148,Angola,0.586,0.407,30.4,28.2,0.460,34.2,0.341,28.9,0.430
149,Myanmar,0.585,..,..,21.2,0.554,26.9,0.377,..,..
150,Syrian Arab Republic,0.577,..,..,13.0,0.697,..,..,..,..
151,Cameroon,0.576,0.393,31.7,28.5,0.444,31.7,0.389,35.0,0.352
152,Kenya,0.575,0.426,25.7,21.0,0.503,22.9,0.400,33.1,0.384
153,Congo,0.571,0.432,24.3,21.0,0.529,20.9,0.433,31.0,0.351
154,Zambia,0.565,0.390,30.1,25.1,0.475,20.4,0.432,44.8,0.289
155,Solomon Islands,0.564,..,..,12.1,0.681,..,..,..,..
156,Comoros,0.558,0.310,43.1,25.6,0.497,47.6,0.262,56.0,0.229
156,Papua New Guinea,0.558,0.397,28.5,20.9,0.552,35.7,0.287,28.9,0.396
158,Mauritania,0.556,0.389,29.0,25.7,0.507,44.0,0.238,17.3,0.490
159,Côte d'Ivoire,0.550,0.358,34.3,30.4,0.414,45.6,0.256,27.0,0.436
160,Tanzania (United Republic of),0.549,0.418,23.7,21.7,0.556,27.0,0.342,22.4,0.385
161,Pakistan,0.544,0.380,29.2,26.9,0.518,43.5,0.221,17.2,0.479
162,Togo,0.539,0.372,30.8,27.7,0.463,37.7,0.328,26.9,0.340
163,Haiti,0.535,0.327,38.1,26.6,0.488,37.3,0.285,50.4,0.251
163,Nigeria,0.535,0.341,36.0,39.6,0.304,40.4,0.310,28.1,0.421
165,Rwanda,0.534,0.402,24.6,19.4,0.571,27.4,0.334,27.2,0.340
166,Benin,0.525,0.334,36.1,32.7,0.413,43.7,0.249,32.0,0.363
166,Uganda,0.525,0.396,24.4,20.4,0.523,27.9,0.341,24.9,0.350
168,Lesotho,0.514,0.372,27.4,33.0,0.341,19.6,0.430,29.6,0.351
169,Malawi,0.512,0.377,26.3,19.7,0.530,28.0,0.361,31.3,0.279
170,Senegal,0.511,0.354,29.5,18.1,0.593,47.1,0.183,23.4,0.406
171,Djibouti,0.509,..,..,25.7,0.484,..,..,27.7,0.428
172,Sudan,0.508,0.336,33.5,25.0,0.522,42.5,0.200,33.0,0.362
173,Madagascar,0.501,0.367,26.9,23.7,0.522,29.3,0.320,27.6,0.295
174,Gambia,0.500,0.348,29.3,23.3,0.496,47.0,0.221,17.5,0.384
175,Ethiopia,0.498,0.363,26.0,23.1,0.532,42.8,0.214,12.1,0.420
176,Eritrea,0.492,..,..,20.3,0.571,..,..,..,..
177,Guinea-Bissau,0.483,0.306,36.5,29.5,0.430,42.1,0.240,37.9,0.277
178,Liberia,0.481,0.330,30.7,30.1,0.438,42.1,0.266,19.7,0.310
179,Congo (Democratic Republic of the),0.479,0.341,28.7,31.7,0.412,26.8,0.371,27.6,0.260
180,Afghanistan,0.478,..,..,26.2,0.477,45.4,0.210,..,..
181,Sierra Leone,0.477,0.309,34.2,35.1,0.400,47.5,0.220,19.9,0.337
182,Guinea,0.465,0.299,34.3,35.1,0.389,50.1,0.172,17.8,0.399
183,Yemen,0.455,0.307,31.5,26.7,0.493,46.1,0.194,21.8,0.304
184,Burkina Faso,0.449,0.315,29.3,31.4,0.415,39.2,0.197,17.3,0.381
185,Mozambique,0.446,0.300,32.4,28.3,0.434,40.5,0.232,28.4,0.269
186,Mali,0.428,0.291,31.1,32.8,0.403,43.9,0.159,16.6,0.386
187,Burundi,0.426,0.302,28.7,25.6,0.477,39.5,0.243,20.9,0.238
188,Central African Republic,0.404,0.240,40.1,36.0,0.334,35.2,0.238,49.2,0.174
189,Niger,0.400,0.292,26.7,28.7,0.456,35.0,0.172,16.4,0.318
190,Chad,0.394,0.251,36.0,38.6,0.307,42.9,0.176,26.5,0.290
191,South Sudan,0.385,0.245,36.3,37.0,0.339,39.6,0.208,32.3,0.209
