#,Nation,Corrupción 2021[6],,Corrupción 2020[17],,Corrupción 2019[18],,Corrupción 2018[19],,Corrupción 2017[20],,Corrupción 2016[21],,Corrupción 2015[22],,Corrupción 2014[23],,Corrupción 2013[24],
,,Score,Δ,Score,Δ,Score,Δ,Score,Δ,Score,Δ,Score,Δ,Score,Δ,Score,Δ,Score,Δ
157,Iraq,23,2,21,1,20,2,18,,18,1,17,1,16,,16,,16,2
13,Ireland,74,2,72,2,74,1,73,1,74,1,73,2,75,1,74,2,72,3
36,Israel,59,1,60,,60,1,61,1,62,2,64,3,61,1,60,1,61,1
42,Italy,56,3,53,,53,1,52,2,50,3,47,3,44,1,43,,43,1
105,Ivory Coast,36,,36,1,35,,35,1,36,2,34,2,32,,32,5,27,2
70,Jamaica,44,,44,1,43,1,44,,44,5,39,2,41,3,38,,38,
18,Japan,73,1,74,1,73,,73,,73,1,72,3,75,1,76,2,74,
58,Jordan,49,,49,1,48,1,49,1,48,,48,5,53,4,49,4,45,3
102,Kazakhstan,37,1,38,4,34,3,31,,31,2,29,1,28,1,29,3,26,2
128,Kenya,30,1,31,3,28,1,27,1,28,2,26,1,25,,25,2,27,
87,Kosovo,39,3,36,,36,1,37,2,39,3,36,3,33,,33,,33,1
73,Kuwait,43,1,42,2,40,1,41,2,39,2,41,8,49,5,44,1,43,1
144,Kyrgyzstan,27,4,31,1,30,1,29,,29,1,28,,28,1,27,3,24,
128,Laos,30,1,29,,29,,29,,29,1,30,5,25,,25,1,26,5
36,Latvia,59,2,57,1,56,2,58,,58,1,57,2,55,,55,2,53,4
154,Lebanon,24,1,25,3,28,,28,,28,,28,,28,1,27,1,28,2
96,Lesotho,38,3,41,1,40,1,41,1,42,3,39,5,44,5,49,,49,4
136,Liberia,29,1,28,,28,4,32,1,31,6,37,,37,,37,1,38,3
172,Libya,17,,17,1,18,1,17,,17,3,14,2,16,2,18,3,15,6
34,Lithuania,61,1,60,,60,1,59,,59,,59,2,61,3,58,1,57,3
9,Luxembourg,81,1,80,,80,1,81,1,82,1,81,,81,1,82,2,80,
147,Madagascar,26,1,25,1,24,1,25,1,24,2,26,2,28,,28,,28,4
110,Malawi,35,5,30,1,31,1,32,1,31,,31,,31,2,33,4,37,
62,Malaysia,48,3,51,2,53,6,47,,47,2,49,1,50,2,52,2,50,1
85,Maldives,40,3,43,14,29,2,31,2,33,3,36,,,,,,,
136,Mali,29,1,30,1,29,3,32,1,31,1,32,3,35,3,32,4,28,6
49,Malta,54,1,53,1,54,,54,2,56,1,55,1,56,1,55,1,56,1
140,Mauritania,28,1,29,1,28,1,27,1,28,1,27,4,31,1,30,,30,1
49,Mauritius,54,1,53,1,52,1,51,1,50,4,54,1,53,1,54,2,52,5
124,Mexico,31,,31,2,29,1,28,1,29,1,30,5,35,,35,1,34,
105,Moldova,36,2,34,2,32,1,33,2,31,1,30,3,33,2,35,,35,1
110,Mongolia,35,,35,,35,2,37,1,36,2,38,1,39,,39,1,38,2
64,Montenegro,46,1,45,,45,,45,1,46,1,45,1,44,2,42,2,44,3
87,Morocco,39,1,40,1,41,2,43,3,40,3,37,1,36,3,39,2,37,
147,Mozambique,26,1,25,1,26,3,23,2,25,2,27,4,31,,31,1,30,1
140,Myanmar,28,,28,1,29,,29,1,30,2,28,6,22,1,21,,21,6
58,Namibia,49,2,51,1,52,1,53,2,51,1,52,1,53,4,49,1,48,
117,Nepal,33,,33,1,34,3,31,,31,2,29,2,27,2,29,2,31,4
8,Netherlands,82,,82,,82,,82,,82,1,83,4,87,4,83,,83,1
1,New Zealand,88,,88,1,87,,87,2,89,1,90,1,91,,91,,91,1
164,Nicaragua,20,2,22,,22,3,25,1,26,,26,1,27,1,28,,28,1
124,Niger,31,1,32,,32,2,34,1,33,2,35,1,34,1,35,1,34,1
154,Nigeria,24,1,25,1,26,1,27,,27,1,28,2,26,1,27,2,25,2
174,North Korea,16,2,18,1,17,3,14,3,17,9,8,,8,,8,,8,
87,North Macedonia,39,4,35,,35,2,37,2,35,2,37,5,42,3,45,1,44,1
4,Norway,85,1,84,,84,,84,1,85,,85,2,87,1,86,,86,1
56,Oman,52,2,54,2,52,,52,8,44,1,45,,45,,45,2,47,
140,Pakistan,28,3,31,1,32,1,33,1,32,,32,2,30,1,29,1,28,1
105,Panama,36,1,35,1,36,1,37,,37,1,38,1,39,2,37,2,35,3
124,Papua New Guinea,31,4,27,1,28,,28,1,29,1,28,3,25,,25,,25,
128,Paraguay,30,2,28,,28,1,29,,29,1,30,3,27,3,24,,24,1
105,Peru,36,2,38,2,36,1,35,2,37,2,35,1,36,2,38,,38,
117,Philippines,33,1,34,,34,2,36,2,34,1,35,,35,3,38,2,36,2
42,Poland,56,,56,2,58,2,60,,60,2,62,,62,1,61,1,60,2
32,Portugal,62,1,61,1,62,2,64,1,63,1,62,1,63,,63,1,62,1
31,Qatar,63,,63,1,62,,62,1,63,2,61,10,71,2,69,1,68,
162,Republic of the Congo,21,2,19,,19,,19,2,21,1,20,3,23,,23,1,22,4
66,Romania,45,1,44,,44,3,47,1,48,,48,2,46,3,43,,43,1
136,Russia,29,1,30,2,28,,28,1,29,,29,,29,2,27,1,28,
52,Rwanda,53,1,54,1,53,3,56,1,55,1,54,,54,5,49,4,53,
42,Saint Lucia,56,,56,1,55,,55,,55,5,60,,,,,,71,
36,Saint Vincent and the Grenadines,59,,59,,59,1,58,,58,2,60,,,,67,5,62,
66,Sao Tome and Principe,45,2,47,1,46,,46,,46,,46,4,42,,42,,42,
52,Saudi Arabia,53,,53,,53,4,49,,49,3,46,6,52,3,49,3,46,2
73,Senegal,43,2,45,,45,,45,,45,,45,1,44,1,43,2,41,5
